RAM (GB),2,2,4,4,4,4,6,6,6,8,8,8,12,12,12,16,16,16,24,24,32,32,64
GPU_Company,AMD,Intel,AMD,ARM,Intel,Nvidia,AMD,Intel,Nvidia,AMD,Intel,Nvidia,AMD,Intel,Nvidia,AMD,Intel,Nvidia,Intel,Nvidia,Intel,Nvidia,Nvidia
Company,,,,,,,,,,,,,,,,,,,,,,,
Dell,0,1,23,0,39,1,0,2,0,43,81,35,0,4,1,9,13,32,0,0,0,7,0
Mediacom,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vero,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer,0,3,5,0,38,12,1,2,0,4,12,17,0,1,2,0,0,4,0,0,0,0,0
Asus,1,3,5,0,29,7,0,1,1,3,24,32,0,1,4,2,3,30,0,2,0,3,1
HP,0,3,19,0,70,1,11,1,2,12,92,38,1,0,5,0,7,6,0,0,0,0,0
Lenovo,0,3,10,0,69,8,3,2,8,14,80,45,2,4,0,2,17,18,1,0,0,3,0
Apple,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,3,1,0,0,0,0,0,0
Chuwi,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fujitsu,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Google,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Huawei,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
LG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
MSI,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,31,0,0,0,1,0
Microsoft,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
Razer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0
Samsung,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0
Toshiba,0,0,0,0,14,0,0,0,0,0,23,2,0,0,0,0,4,4,0,0,1,0,0
Xiaomi,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
